gene,log2FoldChange,padj
PA0625,2.76250551996145,5.19264125764991e-26
PA1041,-1.90688634170053,1.02337028846654e-25
PA1900,-4.22121652880237,1.42358272109201e-25
PA0633,3.02558863163478,2.0531302148131e-25
PA0629,2.75331813320835,1.53500415470161e-24
PA0996,2.20647109095774,5.3864338702015e-24
PA0620,2.8568122465418,1.20012462344455e-23
PA0616,2.84091092451058,3.07921964541917e-23
PA0624,2.93434363642412,6.2755247068622e-23
PA5018,-1.50211004036469,1.19319870882103e-22
PA2928,2.00871296031141,1.50074315568083e-22
PA0646,3.29057947580823,2.52820221699891e-22
PA0578,1.2682808354873,4.21775133367961e-22
PA0623,2.87404541310393,4.21775133367961e-22
PA1000,1.97070278595813,4.21775133367961e-22
PA4139,-2.48261123236349,7.00985424345234e-22
PA2300,-2.84877580536666,1.34742459154514e-21
PA2194,-1.88804608496672,4.43873813525504e-21
PA5220,-2.18030432505048,4.4940740185046e-21
PA2304,-2.10401303732931,5.50274623018012e-21
PA3677,2.06917060340542,7.95454749278984e-21
PA0628,3.18991693600332,8.20895903824085e-21
PA0999,2.04326637401301,1.28865737817316e-20
PA0998,2.09408133247612,2.67507292479194e-20
PA3478,-3.05542664562142,2.78797646651681e-20
PA0626,2.481121285844,4.41767092291164e-20
PA2019,2.22047022941157,6.64942845248772e-20
PA3766,2.30145823904004,1.07652069604351e-19
PA1395,2.43885312181548,1.36591955220174e-19
PA4180,-1.32916913271193,2.27606326810519e-19
PA2929,2.67611507707871,6.30012650045184e-19
PA0634,2.68929573789786,8.60352146370948e-19
PA2303,-1.8067970864896,1.9272348975849e-18
PA1001,1.97858313723354,2.60975312102707e-18
PA3661,4.10600137734455,3.218336874352e-18
PA3615,-1.33654264636825,3.25280305102671e-18
PA5445,1.72253314263127,3.42141993963703e-18
PA0630,2.99148007211764,3.57629272144716e-18
PA3836,-1.1951905232996,4.81421020989507e-18
PA0047,2.12289712264905,1.33913211179044e-17
PA2302,-2.03445681697584,1.47034785469106e-17
PA1002,1.933413444355,3.91060810896354e-17
PA4670,1.60337847494708,5.49145843949502e-17
PA0997,2.03175361249932,1.56844545004526e-16
PA1005,-1.32814900451538,2.05151966556276e-16
PA0637,3.0062847996755,2.44569662037586e-16
PA1205,-1.59893703562017,2.74555320033622e-16
PA1130,-2.17657017860939,3.37345650132683e-16
PA3823,1.29810610842913,3.37345650132683e-16
PA3818,1.25591904001444,3.53990425348401e-16
PA0615,2.12856539119766,3.54390045562752e-16
PA3622,-1.93255084133286,4.90701174752032e-16
PA0645,2.60397631276372,8.17394776935139e-16
PA4141,-2.42361491130911,2.29525310828879e-15
PA0852,-1.90406713237237,2.33422056869486e-15
PA1124,-1.57429411138504,2.38838508357615e-15
PA1964,1.19913377503285,3.33181997211779e-15
PA0046,2.11753331681936,3.4345118688591e-15
PA4296,-2.24210810134812,4.39613448274517e-15
PA0631,3.09268517135711,6.37241307986028e-15
PA2301,-1.86271781602782,6.42223828179842e-15
PA1271,1.77547396468598,7.66164646326177e-15
PA5407,2.28819174608422,2.80597476642583e-14
PA3922,-1.21683486724381,3.09952852530108e-14
PA4434,-1.34227571958374,3.56760006565674e-14
PA0122,-2.03620095644519,4.49784755393273e-14
PA0115,-1.702941863433,6.26389991907978e-14
PA1760,-1.13747248439298,6.53387390034956e-14
