	protein1	protein2	cost
27766	PA14_23080	PA14_35320	0.5
27768	PA14_22910	PA14_34640	0.5
27769	PA14_22910	PA14_35320	0.5
27770	PA14_34640	PA14_35320	0.5
27771	PA14_13500	PA14_34640	0.5
27773	PA14_04310	PA14_07910	0.5
27776	PA14_13500	PA14_35340	0.5
27778	PA14_04310	PA14_07130	0.5
27781	PA14_04310	PA14_39280	0.5
27783	PA14_27960	PA14_67490	0.5
27785	PA14_04310	PA14_70270	0.5
27787	PA14_04310	PA14_61770	0.5
27789	PA14_27960	PA14_62620	0.5
27790	PA14_07130	PA14_39280	0.5
27791	PA14_07130	PA14_07910	0.5
27794	PA14_07130	PA14_70270	0.5
27795	PA14_07130	PA14_61770	0.5
27796	PA14_39280	PA14_70270	0.5
27797	PA14_07230	PA14_27960	0.5
27798	PA14_39280	PA14_61770	1.0
27799	PA14_61770	PA14_70270	0.5
27800	PA14_18300	PA14_38350	0.5
27801	PA14_38350	PA14_38360	0.5
27805	PA14_07910	PA14_34350	0.5
27807	PA14_18250	PA14_18260	0.5
27808	PA14_18260	PA14_18275	0.5
27812	PA14_07230	PA14_18260	0.5
27814	PA14_34340	PA14_67490	0.5
27816	PA14_34340	PA14_34360	0.5
27819	PA14_18500	PA14_18550	0.5
27820	PA14_18500	PA14_18565	0.5
27824	PA14_18260	PA14_67490	0.5
27826	PA14_18470	PA14_18500	0.5
27829	PA14_18380	PA14_70270	0.5
27830	PA14_70270	PA14_71970	0.5
27837	PA14_18380	PA14_71990	0.5
27838	PA14_71970	PA14_71990	0.5
27842	PA14_18380	PA14_18580	0.5
27843	PA14_18580	PA14_71970	0.5
27845	PA14_18580	PA14_71990	0.5
27846	PA14_18380	PA14_34340	0.5
27847	PA14_34340	PA14_71970	0.5
27850	PA14_18380	PA14_67490	0.5
27851	PA14_67490	PA14_71970	0.5
27852	PA14_18550	PA14_18580	0.5
27853	PA14_18565	PA14_18580	0.5
27857	PA14_07230	PA14_18250	0.5
27858	PA14_07230	PA14_18275	0.5
27859	PA14_71990	PA14_72000	0.5
27862	PA14_18250	PA14_34360	0.5
27863	PA14_18275	PA14_34360	0.5
27866	PA14_18250	PA14_34340	0.5
27867	PA14_18275	PA14_34340	0.5
27868	PA14_38350	PA14_70270	0.5
27871	PA14_11260	PA14_38350	0.5
27873	PA14_01190	PA14_68360	0.5
27874	PA14_43690	PA14_68360	0.5
27878	PA14_25690	PA14_68360	0.5
27879	PA14_46490	PA14_68360	0.5
27882	PA14_01190	PA14_25690	0.5
27883	PA14_25690	PA14_43690	0.5
27884	PA14_01190	PA14_46490	0.5
27885	PA14_43690	PA14_46490	0.5
27886	PA14_01190	PA14_25650	0.5
27887	PA14_25650	PA14_43690	0.5
27889	PA14_20950	PA14_25650	0.5
27891	PA14_06450	PA14_68360	0.5
27892	PA14_17270	PA14_68360	0.5
27893	PA14_23860	PA14_68360	0.5
27894	PA14_64100	PA14_68360	0.5
27895	PA14_64110	PA14_68360	0.5
27902	PA14_17190	PA14_25900	0.5
27907	PA14_01190	PA14_25900	0.5
27908	PA14_25900	PA14_43690	0.5
27912	PA14_02300	PA14_17190	0.5
27913	PA14_11020	PA14_17190	0.5
27914	PA14_17190	PA14_25660	0.5
27915	PA14_17190	PA14_40900	0.5
27916	PA14_17190	PA14_45430	0.5
27917	PA14_17190	PA14_57050	0.5
27918	PA14_17190	PA14_63270	0.5
27919	PA14_17190	PA14_72880	0.5
27929	PA14_41170	PA14_43680	0.5
27934	PA14_02300	PA14_43680	0.5
27935	PA14_11020	PA14_43680	0.5
27936	PA14_25660	PA14_43680	0.5
27937	PA14_40900	PA14_43680	0.5
27938	PA14_43680	PA14_45430	0.5
27939	PA14_43680	PA14_57050	0.5
27940	PA14_43680	PA14_63270	0.5
27941	PA14_43680	PA14_72880	0.5
27951	PA14_25650	PA14_25690	0.5
27952	PA14_25650	PA14_46490	0.5
27953	PA14_20950	PA14_25690	0.5
27954	PA14_20950	PA14_46490	0.5
27958	PA14_25900	PA14_43680	0.5
27961	PA14_17190	PA14_41170	0.5
27963	PA14_25690	PA14_25900	0.5
27964	PA14_25900	PA14_46490	0.5
27982	PA14_01190	PA14_20950	0.5
27983	PA14_20950	PA14_43690	0.5
27984	PA14_01190	PA14_41170	0.5
27985	PA14_41170	PA14_43690	0.5
27996	PA14_25650	PA14_68360	0.5
27997	PA14_02300	PA14_25690	0.5
27998	PA14_11020	PA14_25690	0.5
27999	PA14_25660	PA14_25690	0.5
28000	PA14_25690	PA14_40900	0.5
28001	PA14_25690	PA14_45430	0.5
28002	PA14_25690	PA14_57050	0.5
28003	PA14_25690	PA14_63270	0.5
28004	PA14_25690	PA14_72880	0.5
28005	PA14_02300	PA14_46490	0.5
28006	PA14_11020	PA14_46490	0.5
28007	PA14_25660	PA14_46490	0.5
28008	PA14_40900	PA14_46490	0.5
28009	PA14_45430	PA14_46490	0.5
28010	PA14_46490	PA14_57050	0.5
28011	PA14_46490	PA14_63270	0.5
28012	PA14_46490	PA14_72880	0.5
28023	PA14_17190	PA14_43680	0.5
28050	PA14_01190	PA14_02300	0.5
28051	PA14_02300	PA14_43690	0.5
28052	PA14_01190	PA14_11020	0.5
28053	PA14_11020	PA14_43690	0.5
28054	PA14_01190	PA14_25660	0.5
28055	PA14_25660	PA14_43690	0.5
28056	PA14_01190	PA14_40900	0.5
28057	PA14_40900	PA14_43690	0.5
28058	PA14_01190	PA14_45430	0.5
28059	PA14_43690	PA14_45430	0.5
28060	PA14_01190	PA14_57050	0.5
28061	PA14_43690	PA14_57050	0.5
28062	PA14_01190	PA14_63270	0.5
28063	PA14_43690	PA14_63270	0.5
28064	PA14_01190	PA14_72880	0.5
28065	PA14_43690	PA14_72880	0.5
28079	PA14_25690	PA14_41170	0.5
28080	PA14_41170	PA14_46490	0.5
28127	PA14_43680	PA14_43680	0.5
28175	PA14_06450	PA14_20950	0.5
28176	PA14_17270	PA14_20950	0.5
28177	PA14_20950	PA14_23860	0.5
28178	PA14_20950	PA14_64100	0.5
28179	PA14_20950	PA14_64110	0.5
28197	PA14_06450	PA14_25650	0.5
28198	PA14_17270	PA14_25650	0.5
28199	PA14_23860	PA14_25650	0.5
28200	PA14_25650	PA14_64100	0.5
28201	PA14_25650	PA14_64110	0.5
28218	PA14_02300	PA14_20950	0.5
28219	PA14_11020	PA14_20950	0.5
28220	PA14_20950	PA14_25660	0.5
28221	PA14_20950	PA14_40900	0.5
28222	PA14_20950	PA14_45430	0.5
28223	PA14_20950	PA14_57050	0.5
28224	PA14_20950	PA14_63270	0.5
28225	PA14_20950	PA14_72880	0.5
28228	PA14_02300	PA14_68360	0.5
28229	PA14_11020	PA14_68360	0.5
28230	PA14_25660	PA14_68360	0.5
28231	PA14_40900	PA14_68360	0.5
28232	PA14_45430	PA14_68360	0.5
28233	PA14_57050	PA14_68360	0.5
28234	PA14_63270	PA14_68360	0.5
28235	PA14_68360	PA14_72880	0.5
28253	PA14_13090	PA14_19430	0.5
28254	PA14_13090	PA14_25090	0.5
28255	PA14_13090	PA14_26010	0.5
28256	PA14_17880	PA14_19430	0.5
28257	PA14_17880	PA14_25090	0.5
28258	PA14_17880	PA14_26010	0.5
28259	PA14_19430	PA14_31530	0.5
28260	PA14_25090	PA14_31530	0.5
