	protein1	protein2	cost
482	PA4273	PA4385	1.5
483	PA2620	PA4427	1.0
484	PA1534	PA4234	1.5
485	PA5554	PA5555	1.0
486	PA3806	PA5366	1.0
487	PA1010	PA3117	0.5
488	PA2153	PA2165	0.5
489	PA3244	PA4385	1.0
490	PA2809	PA5361	1.5
491	PA3875	PA3878	1.5
492	PA0363	PA5015	1.5
493	PA1596	PA4271	1.5
494	PA4262	PA4403	1.5
495	PA2840	PA4932	1.5
496	PA2630	PA2972	1.5
497	PA5316	PA5569	1.0
498	PA4481	PA5366	1.5
499	PA5239	PA5567	1.5
500	PA5192	PA5200	1.5
501	PA4264	PA4745	1.5
502	PA4263	PA4420	1.0
503	PA2812	PA4935	1.0
504	PA4935	PA4937	1.0
505	PA2188	PA5016	1.5
506	PA4269	PA4755	1.0
507	PA0576	PA3622	1.5
508	PA3620	PA4946	1.0
509	PA4934	PA5569	1.5
510	PA1803	PA4257	1.0
511	PA2840	PA4275	1.0
512	PA3656	PA5053	1.5
513	PA5331	PA5336	1.5
514	PA1781	PA2611	1.5
515	PA0966	PA3725	1.0
516	PA1272	PA1832	1.5
517	PA5239	PA5569	1.0
518	PA2585	PA4241	1.0
519	PA4761	PA5303	1.5
520	PA4700	PA5045	1.0
521	PA0336	PA2540	1.5
522	PA1580	PA2623	1.5
523	PA3376	PA4505	1.5
524	PA1587	PA3849	1.5
525	PA0382	PA4258	1.0
526	PA0546	PA3168	1.0
527	PA3742	PA4762	1.5
528	PA4760	PA4762	1.0
529	PA5312	PA5373	1.5
530	PA3129	PA3656	1.0
531	PA0947	PA3007	1.5
532	PA3714	PA4385	1.0
533	PA3374	PA3377	0.5
534	PA3745	PA4275	1.0
535	PA2741	PA2840	1.0
536	PA2623	PA3118	1.5
537	PA4254	PA4257	1.5
538	PA0347	PA5235	1.5
539	PA4250	PA5338	1.0
540	PA3162	PA3656	1.0
541	PA2812	PA3742	1.5
542	PA0935	PA4385	1.5
543	PA4241	PA4259	1.0
544	PA3861	PA4935	1.0
545	PA0649	PA1001	1.5
546	PA1340	PA3384	1.5
547	PA4246	PA4432	1.0
548	PA0463	PA1799	1.5
549	PA5153	PA5154	1.5
550	PA0036	PA1001	1.5
551	PA1816	PA5315	1.5
552	PA4269	PA4273	1.5
553	PA4270	PA4745	1.5
554	PA3162	PA4944	1.5
555	PA3809	PA3811	1.5
556	PA4262	PA5500	1.5
557	PA0976	PA4761	1.5
558	PA4750	PA4752	1.5
559	PA4678	PA5015	1.5
560	PA4257	PA5035	1.0
561	PA2961	PA4403	1.0
562	PA0004	PA4964	1.5
563	PA0546	PA2619	1.5
564	PA4267	PA4595	1.5
565	PA0903	PA3617	1.5
566	PA2812	PA4262	1.0
567	PA1587	PA4967	1.5
568	PA2970	PA4258	1.0
569	PA2622	PA2975	1.0
570	PA0576	PA0652	1.0
571	PA0001	PA4920	1.0
572	PA1580	PA3618	1.5
573	PA3656	PA4768	1.0
574	PA5015	PA5209	1.0
575	PA4275	PA4385	1.0
576	PA0354	PA4258	1.5
577	PA2071	PA4248	1.5
578	PA2840	PA4274	1.0
579	PA1449	PA4954	1.5
580	PA3806	PA4239	1.0
581	PA4403	PA4481	1.5
582	PA0002	PA5339	1.0
583	PA2620	PA4670	1.0
584	PA3849	PA5016	1.5
585	PA0456	PA4239	1.0
586	PA1803	PA2620	1.0
587	PA0607	PA5038	1.5
588	PA4941	PA4943	1.5
589	PA3011	PA4260	1.0
590	PA1084	PA1452	1.5
591	PA3745	PA5569	1.0
592	PA2812	PA4932	1.0
593	PA1587	PA5063	1.5
594	PA2923	PA5153	1.5
595	PA4740	PA4761	1.0
596	PA1769	PA5015	1.5
597	PA2923	PA2925	1.5
598	PA3656	PA4238	1.0
599	PA2991	PA5016	1.5
600	PA1636	PA2962	1.5
601	PA2144	PA2153	0.5
602	PA4237	PA4244	1.0
603	PA3742	PA4261	1.5
604	PA2071	PA4270	1.5
605	PA4252	PA4753	1.0
606	PA1475	PA1477	1.0
607	PA1802	PA4761	1.0
608	PA0762	PA5255	1.0
609	PA4427	PA4428	1.5
610	PA2071	PA4264	1.5
611	PA1832	PA4268	1.5
612	PA4246	PA4259	1.0
613	PA4158	PA4160	1.5
614	PA4568	PA4937	1.0
615	PA2964	PA2966	1.5
616	PA4246	PA4258	1.5
617	PA4277	PA4760	1.0
618	PA5065	PA5358	1.5
619	PA3645	PA3646	1.5
620	PA3806	PA4761	1.5
621	PA3308	PA4238	1.5
622	PA4254	PA4262	1.5
623	PA4403	PA4964	1.0
624	PA3875	PA4277	1.0
625	PA4942	PA4946	1.5
626	PA3011	PA3742	1.5
627	PA4407	PA4481	1.0
628	PA5162	PA5453	1.5
629	PA0280	PA0932	1.5
630	PA4445	PA4761	1.5
631	PA2987	PA2988	1.5
632	PA4002	PA4418	1.5
633	PA3337	PA4458	1.0
634	PA0444	PA1140	0.5
635	PA5147	PA5148	1.5
636	PA2622	PA3656	1.0
637	PA4262	PA4273	1.0
638	PA4160	PA4622	1.5
639	PA1529	PA4481	1.0
640	PA4427	PA4454	1.5
641	PA4256	PA4937	1.0
642	PA1802	PA3007	1.5
643	PA1812	PA4434	1.5
644	PA2977	PA4385	1.5
645	PA0178	PA1457	1.0
646	PA5564	PA5565	1.5
647	PA2741	PA4937	1.0
648	PA0376	PA0576	1.5
649	PA3821	PA3823	1.5
650	PA2965	PA3128	1.5
651	PA2975	PA4258	1.0
652	PA2620	PA4761	1.0
653	PA4159	PA4228	1.5
654	PA3725	PA5015	1.0
655	PA5554	PA5560	1.0
656	PA4403	PA4420	1.5
657	PA3007	PA5358	1.5
658	PA0858	PA4761	1.5
659	PA1448	PA1452	1.5
660	PA3019	PA3048	1.5
661	PA2743	PA4257	1.5
662	PA4935	PA4938	1.5
663	PA5569	PA5570	1.5
664	PA4462	PA4464	1.5
665	PA3048	PA5569	1.5
666	PA0001	PA0004	1.5
667	PA0854	PA4333	0.5
668	PA3017	PA3337	1.5
669	PA0376	PA4238	1.0
670	PA2975	PA4753	1.0
671	PA4410	PA4413	1.5
672	PA5119	PA5125	0.5
673	PA1079	PA1448	1.5
674	PA2840	PA4241	1.5
675	PA5241	PA5242	1.5
676	PA4240	PA4262	1.0
677	PA2743	PA4271	1.0
678	PA3639	PA4258	1.0
679	PA1584	PA1588	0.5
680	PA3832	PA5316	1.0
681	PA3490	PA3494	1.5
682	PA3646	PA4932	1.0
683	PA5016	PA5302	1.5
684	PA1618	PA4260	1.0
685	PA4408	PA4413	1.5
686	PA2975	PA3656	1.0
687	PA1584	PA1585	1.5
688	PA4275	PA4403	1.0
689	PA2741	PA4753	1.5
690	PA0903	PA3656	1.0
691	PA4274	PA4670	1.0
692	PA2979	PA3162	1.0
693	PA4239	PA4257	1.0
694	PA4668	PA5239	1.0
695	PA3007	PA3617	0.5
696	PA1807	PA4504	1.5
697	PA4256	PA4263	1.5
698	PA2622	PA5015	1.0
699	PA4988	PA5012	1.5
700	PA3013	PA3014	0.5
701	PA0733	PA3745	1.0
702	PA2620	PA3656	1.0
703	PA0382	PA4241	1.5
704	PA4271	PA4745	1.5
705	PA0376	PA3622	1.5
706	PA0546	PA4277	1.5
707	PA4433	PA4749	1.0
708	PA4727	PA4944	1.0
709	PA3639	PA4848	1.0
710	PA5373	PA5374	0.5
711	PA2812	PA4240	1.0
712	PA2290	PA4645	1.5
713	PA3972	PA5338	1.5
714	PA1081	PA1083	1.0
715	PA4273	PA5428	1.0
716	PA3654	PA3656	1.0
717	PA3344	PA5015	1.0
718	PA1340	PA2923	1.5
719	PA3746	PA4752	1.0
720	PA3638	PA4645	1.5
721	PA4253	PA5569	1.0
722	PA3048	PA4944	1.5
723	PA4246	PA4935	1.0
724	PA0546	PA4385	1.0
725	PA2743	PA3673	1.0
726	PA4433	PA4768	1.0
727	PA1505	PA3028	0.5
728	PA0173	PA1456	1.5
729	PA1587	PA2969	1.5
730	PA3640	PA3642	1.5
731	PA0002	PA5567	1.5
732	PA3297	PA5016	1.0
733	PA0128	PA1353	1.5
734	PA0656	PA3806	1.5
735	PA3673	PA4821	1.5
736	PA2961	PA4263	1.0
737	PA4403	PA4406	1.5
738	PA1633	PA1635	1.0
739	PA1587	PA2188	1.5
740	PA3646	PA4258	1.0
741	PA3832	PA4260	1.0
742	PA4385	PA4646	1.0
743	PA4760	PA4935	1.0
744	PA1172	PA1174	1.5
745	PA1104	PA1447	1.5
746	PA3344	PA3620	1.5
747	PA4241	PA4243	1.5
748	PA3972	PA5316	1.0
749	PA1816	PA3832	1.0
750	PA0336	PA5015	1.5
751	PA1948	PA1950	1.5
752	PA3745	PA5335	1.0
753	PA2743	PA4244	1.0
754	PA0962	PA2840	1.5
755	PA5361	PA5365	1.0
756	PA2622	PA4433	1.5
757	PA2812	PA4433	1.0
758	PA3725	PA5345	1.5
759	PA3168	PA4530	1.5
760	PA1587	PA4996	1.5
761	PA2840	PA4477	1.5
762	PA2961	PA2962	1.5
763	PA4756	PA4758	1.0
764	PA2071	PA4385	1.5
765	PA3337	PA5011	1.5
766	PA0173	PA1457	1.5
767	PA3000	PA5015	1.5
768	PA4256	PA4268	1.0
769	PA3861	PA4259	1.0
770	PA4563	PA4670	1.0
771	PA4241	PA4269	1.0
772	PA5263	PA5323	1.5
773	PA0375	PA0376	1.5
774	PA1505	PA3916	1.0
775	PA1456	PA5016	1.0
776	PA4261	PA4473	1.0
777	PA4273	PA4274	1.0
778	PA0464	PA4983	1.5
779	PA0837	PA1616	1.5
780	PA4563	PA4753	1.0
781	PA0972	PA1946	1.0
782	PA4481	PA4964	1.0
783	PA3118	PA3120	0.5
784	PA5016	PA5070	1.5
785	PA5553	PA5558	1.5
786	PA0336	PA4246	1.0
787	PA4270	PA5239	1.0
788	PA4261	PA4760	1.0
789	PA3011	PA3344	1.0
790	PA1082	PA1083	1.5
791	PA1804	PA5493	1.5
792	PA3878	PA3879	1.0
793	PA3875	PA4481	1.5
794	PA1008	PA2616	1.5
795	PA2840	PA4267	1.0
796	PA0649	PA1758	1.0
797	PA0354	PA4250	1.0
798	PA4263	PA4753	1.0
799	PA4753	PA5569	1.0
800	PA3823	PA5016	1.0
801	PA1780	PA1781	1.5
802	PA2341	PA4760	1.5
803	PA0962	PA1210	1.5
804	PA1179	PA5344	1.5
805	PA5296	PA5443	1.0
806	PA4237	PA4261	1.0
807	PA0576	PA4270	1.0
808	PA4262	PA4269	1.0
809	PA4967	PA5556	1.0
810	PA0964	PA0967	1.5
811	PA3580	PA4271	1.5
812	PA0580	PA5015	1.0
813	PA0177	PA4953	1.5
814	PA2639	PA2647	0.5
815	PA4252	PA4473	1.0
816	PA1078	PA1443	1.5
817	PA4252	PA4261	1.0
818	PA0354	PA4261	1.5
819	PA0002	PA5303	1.0
820	PA4239	PA4243	1.5
821	PA2643	PA2649	0.5
822	PA2585	PA4257	1.5
823	PA2966	PA3646	1.5
824	PA0966	PA3832	1.5
825	PA4258	PA4275	1.0
826	PA2840	PA4252	1.5
827	PA0354	PA4932	1.0
828	PA4407	PA4418	1.5
829	PA0148	PA4407	1.0
830	PA2640	PA2641	1.0
831	PA2620	PA4752	1.0
832	PA4277	PA5054	1.0
833	PA3646	PA4246	1.0
834	PA0999	PA1609	1.5
835	PA3656	PA5193	1.0
836	PA4261	PA4262	1.0
837	PA2812	PA4263	1.5
838	PA3656	PA4761	1.0
839	PA2966	PA5016	1.0
840	PA0008	PA4385	1.0
841	PA0501	PA4385	1.0
842	PA4258	PA4262	1.0
843	PA5365	PA5366	1.0
844	PA0967	PA5345	1.5
845	PA0382	PA3981	1.0
846	PA4277	PA5063	1.0
847	PA3639	PA4744	1.0
848	PA3654	PA4385	1.0
849	PA0559	PA5016	1.5
850	PA3654	PA4262	1.0
851	PA3297	PA4277	1.0
852	PA1585	PA1588	0.5
853	PA0837	PA4964	1.0
854	PA1587	PA2966	1.5
855	PA0837	PA4458	1.0
856	PA3656	PA3806	1.0
857	PA5034	PA5260	1.5
858	PA3622	PA4277	1.0
859	PA4277	PA4411	1.0
860	PA4262	PA5550	1.0
861	PA0363	PA5345	1.5
862	PA1078	PA1104	1.5
863	PA4238	PA4249	1.5
864	PA2740	PA4385	1.0
865	PA4263	PA5338	1.0
866	PA2071	PA4241	1.5
867	PA3377	PA3380	1.0
868	PA3204	PA5200	1.0
869	PA0967	PA4761	1.0
870	PA4241	PA4246	1.0
871	PA3873	PA3874	1.0
872	PA4410	PA4418	1.5
